strategy_0,strategy_1,strategy_2,strategy_3,poaching_regret,logging_regret,eq_str
0.25,0.25,0.25,0.25,0.013628093153238652,0.06214386373758263,"[0.25, 0.25, 0.25, 0.25]"
1.0,0.0,0.0,0.0,0.018290609121322632,0.05588245451450291,"[1.0, 0.0, 0.0, 0.0]"
0.75,0.25,0.0,0.0,0.021569311022758608,0.07172444164752889,"[0.75, 0.25, 0.0, 0.0]"
0.75,0.0,0.25,0.0,0.014922043532133333,0.04191184088587718,"[0.75, 0.0, 0.25, 0.0]"
0.75,0.0,0.0,0.25,0.013717956840991974,0.060272490233182374,"[0.75, 0.0, 0.0, 0.25]"
0.0,1.0,0.0,0.0,0.03140541672706654,0.11925040304660683,"[0.0, 1.0, 0.0, 0.0]"
0.25,0.75,0.0,0.0,0.02812671482563056,0.10340841591358085,"[0.25, 0.75, 0.0, 0.0]"
0.0,0.75,0.25,0.0,0.024758149236441263,0.08943780228495513,"[0.0, 0.75, 0.25, 0.0]"
0.0,0.75,0.0,0.25,0.023554062545299903,0.10779845163226032,"[0.0, 0.75, 0.0, 0.25]"
0.0,0.0,1.0,0.0,0.004816346764565438,-0.0,"[0.0, 0.0, 1.0, 0.0]"
0.25,0.0,0.75,0.0,0.008184912353754736,0.013970613628625728,"[0.25, 0.0, 0.75, 0.0]"
0.0,0.25,0.75,0.0,0.011463614255190713,0.02981260076165171,"[0.0, 0.25, 0.75, 0.0]"
0.0,0.0,0.75,0.25,0.0036122600734240784,0.01836064934730519,"[0.0, 0.0, 0.75, 0.25]"
0.0,0.0,0.0,1.0,-0.0,0.07344259738922077,"[0.0, 0.0, 0.0, 1.0]"
0.25,0.0,0.0,0.75,0.004572652280330658,0.0690525616705413,"[0.25, 0.0, 0.0, 0.75]"
0.0,0.25,0.0,0.75,0.007851354181766634,0.08489454880356728,"[0.0, 0.25, 0.0, 0.75]"
0.0,0.0,0.25,0.75,0.0012040866911413595,0.055081948041915574,"[0.0, 0.0, 0.25, 0.75]"
0.2910376070510921,0.708962392948908,0.0,0.0,0.02758851450455537,0.10080794694208656,"[0.29, 0.71, 0.0, 0.0]"
0.0,0.0,0.5277330488406917,0.4722669511593082,0.0025417453623381198,0.03468451155422786,"[0.0, 0.0, 0.53, 0.47]"
