strategy_0,strategy_1,strategy_2,strategy_3,poaching_regret,logging_regret,eq_str
0.25,0.25,0.25,0.25,0.02053903013467817,0.05459754258394289,"[0.25, 0.25, 0.25, 0.25]"
1.0,0.0,0.0,0.0,0.04593435704708071,0.01266216635704076,"[1.0, 0.0, 0.0, 0.0]"
0.75,0.25,0.0,0.0,0.042302121967077166,0.0392983004450802,"[0.75, 0.25, 0.0, 0.0]"
0.75,0.0,0.25,0.0,0.03565485447645189,0.00949662476778057,"[0.75, 0.0, 0.25, 0.0]"
0.75,0.0,0.0,0.25,0.03445076778531053,0.03112695008516364,"[0.75, 0.0, 0.0, 0.25]"
0.0,1.0,0.0,0.0,0.03140541672706654,0.11920670270919853,"[0.0, 1.0, 0.0, 0.0]"
0.25,0.75,0.0,0.0,0.03503765180707008,0.09257056862115909,"[0.25, 0.75, 0.0, 0.0]"
0.0,0.75,0.25,0.0,0.024758149236441263,0.0894050270318989,"[0.0, 0.75, 0.25, 0.0]"
0.0,0.75,0.0,0.25,0.023554062545299903,0.11103535234928197,"[0.0, 0.75, 0.0, 0.25]"
0.0,0.0,1.0,0.0,0.004816346764565438,-0.0,"[0.0, 0.0, 1.0, 0.0]"
0.25,0.0,0.75,0.0,0.015095849335194256,0.00316554158926019,"[0.25, 0.0, 0.75, 0.0]"
0.0,0.25,0.75,0.0,0.011463614255190713,0.029801675677299633,"[0.0, 0.25, 0.75, 0.0]"
0.0,0.0,0.75,0.25,0.0036122600734240784,0.02163032531738307,"[0.0, 0.0, 0.75, 0.25]"
0.0,0.0,0.0,1.0,-0.0,0.08652130126953228,"[0.0, 0.0, 0.0, 1.0]"
0.25,0.0,0.0,0.75,0.011483589261770177,0.0680565175414094,"[0.25, 0.0, 0.0, 0.75]"
0.0,0.25,0.0,0.75,0.007851354181766634,0.09469265162944884,"[0.0, 0.25, 0.0, 0.75]"
0.0,0.0,0.25,0.75,0.0012040866911413595,0.06489097595214921,"[0.0, 0.0, 0.25, 0.75]"
0.20967815939203163,0.7903218406079684,0.0,0.0,0.03445181819128378,0.09686664043360069,"[0.21, 0.79, 0.0, 0.0]"
0.0,0.0,0.5277330488406917,0.4722669511593082,0.0025417453623381198,0.040861151160897995,"[0.0, 0.0, 0.53, 0.47]"
