strategy_0,strategy_1,strategy_2,strategy_3,poaching_regret,logging_regret,eq_str
0.25,0.25,0.25,0.25,0.0876408462778886,0.12967918561804215,"[0.25, 0.25, 0.25, 0.25]"
1.0,0.0,0.0,0.0,0.06179385555890704,0.13380323313269926,"[1.0, 0.0, 0.0, 0.0]"
0.75,0.25,0.0,0.0,0.05980569653258794,0.13946864752178234,"[0.75, 0.25, 0.0, 0.0]"
0.75,0.0,0.25,0.0,0.07850304441337252,0.1311976217112516,"[0.75, 0.0, 0.25, 0.0]"
0.75,0.0,0.0,0.25,0.07291981644974221,0.12661938265040673,"[0.75, 0.0, 0.0, 0.25]"
0.0,1.0,0.0,0.0,0.05384121945363063,0.15646489068903158,"[0.0, 1.0, 0.0, 0.0]"
0.25,0.75,0.0,0.0,0.05582937847994973,0.1507994762999485,"[0.25, 0.75, 0.0, 0.0]"
0.0,0.75,0.25,0.0,0.07253856733441522,0.14819386487850084,"[0.0, 0.75, 0.25, 0.0]"
0.0,0.75,0.0,0.25,0.0669553393707849,0.14361562581765597,"[0.0, 0.75, 0.0, 0.25]"
0.0,0.0,1.0,0.0,0.12863061097676898,0.12338078744690861,"[0.0, 0.0, 1.0, 0.0]"
0.25,0.0,0.75,0.0,0.1119214221223035,0.12598639886835628,"[0.25, 0.0, 0.75, 0.0]"
0.0,0.25,0.75,0.0,0.10993326309598439,0.13165181325743935,"[0.0, 0.25, 0.75, 0.0]"
0.0,0.0,0.75,0.25,0.12304738301313867,0.11880254838606374,"[0.0, 0.0, 0.75, 0.25]"
0.0,0.0,0.0,1.0,0.10629769912224774,0.10506783120352914,"[0.0, 0.0, 0.0, 1.0]"
0.25,0.0,0.0,0.75,0.09517173823141256,0.11225168168582167,"[0.25, 0.0, 0.0, 0.75]"
0.0,0.25,0.0,0.75,0.09318357920509346,0.11791709607490475,"[0.0, 0.25, 0.0, 0.75]"
0.0,0.0,0.25,0.75,0.11188092708587805,0.10964607026437401,"[0.0, 0.0, 0.25, 0.75]"
0.2388183112531667,0.7107062822210869,0.05047540652574631,0.0,0.059515479519247315,0.14938293834054478,"[0.24, 0.71, 0.05, 0.0]"
0.0,0.0,0.0,1.0,0.10629769912224774,0.10506783120352914,"[0.0, 0.0, 0.0, 1.0]"
