strategy_0,strategy_1,strategy_2,strategy_3,poaching_regret,logging_regret,eq_str
0.75,0.0,0.0,0.25,0.03690742343664111,0.3452021117508408,"[0.75, 0.0, 0.0, 0.25]"
0.25,0.0,0.0,0.75,0.0958898285031311,0.21953304275870256,"[0.25, 0.0, 0.0, 0.75]"
0.25,0.25,0.25,0.25,0.10909108772873854,0.25212616562843326,"[0.25, 0.25, 0.25, 0.25]"
0.0,0.25,0.75,0.0,0.22707646116614355,0.10551349073648453,"[0.0, 0.25, 0.75, 0.0]"
0.0,0.75,0.25,0.0,0.08039312496781337,0.3092806237936019,"[0.0, 0.75, 0.25, 0.0]"
0.7995987008528167,0.20040129914718338,0.0,0.0,0.020755394815300157,0.4313648385949282,"[0.8, 0.2, 0.0, 0.0]"
0.0,0.0,0.9192758179547821,0.08072418204521799,0.2949679202391425,0.010990272855038449,"[0.0, 0.0, 0.92, 0.08]"
